Teams,Team Number
Rajasthan,1
RR,1
Rajasthan Royals,1
Team Kings XI,2
KXIP,2
Kings XI Punjab,2
Kolkata Night Riders,3
KKR,3
Chennai Super Kings,4
CSK,4
Delhi Capitals,5
Delhi,5
SRH,6
Hyderabad,6
RCB,7
Team Mumbai Indians,8
Mumbai Indians,8
MI,8
